Incident ID,Date,State,City,County,Address,Latitude,Longitude,# Killed,# Injured,Incident Characteristics
2474277,12/4/22,Florida,Orlando,,14000 block of Osprey Links Rd,28.3626,-81.418,1,0,"Shot - Dead (murder, accidental, suicide)"
2222427,1/28/22,Florida,Orlando,,2079 W Town Center Blvd,28.3686,-81.4074,0,2,Shot - Wounded/Injured
2483626,12/18/22,Florida,Orlando,,13000 block of Bayview Isle Dr,28.3723,-81.3703,0,1,Shot - Wounded/Injured
2339927,6/25/22,Florida,Orlando,,12400 South International Dr,28.3879,-81.4773,2,0,"Shot - Dead (murder, accidental, suicide)
Suicide^
Murder/Suicide
Domestic Violence"
2208012,1/10/22,Florida,Orlando,,Central Florida Pkwy and International Dr,28.407,-81.456,1,0,"Shot - Dead (murder, accidental, suicide)"
2377338,8/2/22,Florida,Orlando,,9873 Lake District Ln,28.4233,-81.2372,5,0,"Shot - Dead (murder, accidental, suicide)
Suicide^
Murder/Suicide
Child Involved Incident
Child killed (not child shooter)
Mass Murder (4+ deceased victims excluding the subject/suspect/perpetrator , one location)
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)
Domestic Violence"
2482007,12/14/22,Florida,Orlando,,9500 Turkey Lake Rd,28.427,-81.4757,0,2,"Shot - Wounded/Injured
Assault weapon (AR-15, AK-47, and ALL variants defined by law enforcement)"
2217844,1/22/22,Florida,Orlando,,1850 Landstreet Rd,28.4356,-81.4035,0,1,Shot - Wounded/Injured
2333902,6/18/22,Florida,Orlando,,1800 W Landstreet Rd,28.436,-81.402,0,3,Shot - Wounded/Injured
2343798,6/29/22,Florida,Orlando,,8800 block of S Orange Blossom Trail,28.4379,-81.4043,0,1,"Shot - Wounded/Injured
Armed robbery with injury/death and/or evidence of DGU found
Car-jacking"
2273607,4/8/22,Florida,Orlando,,8444 International Dr,28.4434,-81.4724,0,1,Shot - Wounded/Injured
2357879,7/11/22,Florida,Orlando,,Sunlife Path and US-441,28.4435,-81.4017,1,0,"Shot - Dead (murder, accidental, suicide)"
2448015,10/29/22,Florida,Orlando,,8204 Crystal Clear Ln,28.4481,-81.4007,0,6,"Shot - Wounded/Injured
Drive-by (car to street, car to car)
Mass Shooting (4+ victims injured or killed excluding the subject/suspect/perpetrator, one location)
Bar/club incident - in or around establishment"
2260254,3/22/22,Florida,Orlando,,John Young Pkwy and Martin Andersen Beachline Expy,28.4513,-81.3232,0,1,"Shot - Wounded/Injured
Defensive Use
Defensive Use - Crime occurs, victim shoots subject/suspect/perpetrator"
2380395,8/6/22,Florida,Orlando,,7900 S Orange Blossom Trail,28.4517,-81.4015,2,1,"Shot - Wounded/Injured
Shot - Dead (murder, accidental, suicide)
Officer Involved Incident
Officer Involved Shooting - subject/suspect/perpetrator killed
Shootout (where VENN diagram of shooters and victims overlap)"
2365795,7/21/22,Florida,Orlando,,831 Sky Lake Cir,28.4535,-81.3889,0,1,"Shot - Wounded/Injured
Accidental Shooting
Accidental Shooting - Injury
Accidental/Negligent Discharge
Playing with gun"
2491097,12/30/22,Florida,Orlando,,7000 block of Southland Blvd,28.4558,-81.3999,1,1,"Shot - Wounded/Injured
Shot - Dead (murder, accidental, suicide)"
2270367,4/3/22,Florida,Orlando,,6900 block of Kingspointe Pkwy,28.4602,-81.4363,0,1,Shot - Wounded/Injured
2444163,10/24/22,Florida,Orlando,,5725 T G Lee Blvd,28.4608,-81.3092,1,1,"Shot - Wounded/Injured
Shot - Dead (murder, accidental, suicide)"
2474713,12/5/22,Florida,Orlando,,6323 International Dr,28.4614,-81.4683,1,0,"Shot - Dead (murder, accidental, suicide)
Armed robbery with injury/death and/or evidence of DGU found"
2326378,6/10/22,Florida,Orlando,,7113 S Orange Blossom Trl,28.4616,-81.397,1,1,"Shot - Wounded/Injured
Shot - Dead (murder, accidental, suicide)"
2291689,5/1/22,Florida,Orlando,,5533 International Dr,28.4634,-81.455,0,1,"Shot - Wounded/Injured
Bar/club incident - in or around establishment"
2399032,8/27/22,Florida,Orlando,,6119 S Orange Blossom Trl,28.4681,-81.3962,0,1,Shot - Wounded/Injured
2306375,5/19/22,Florida,Orlando,,6300 block of Goldenrod Rd,28.4709,-81.2899,0,1,Shot - Wounded/Injured
2451284,11/2/22,Florida,Orlando,,S Texas Ave and W Oak Ridge Rd,28.4724,-81.4091,1,1,"Shot - Wounded/Injured
Shot - Dead (murder, accidental, suicide)
Shootout (where VENN diagram of shooters and victims overlap)"
2400710,8/29/22,Florida,Orlando,,5316 Millenia Blvd,28.4737,-81.4406,0,1,Shot - Wounded/Injured
2393572,8/21/22,Florida,Orlando,,5581 S Orange Blossom Trail,28.4784,-81.3963,1,0,"Shot - Dead (murder, accidental, suicide)
Defensive Use
Defensive Use - Crime occurs, victim shoots subject/suspect/perpetrator
Shootout (where VENN diagram of shooters and victims overlap)
Bar/club incident - in or around establishment"
2250999,3/10/22,Florida,Orlando,,5000 Millenia Blvd,28.4786,-81.4396,1,0,"Shot - Dead (murder, accidental, suicide)"
2274949,4/10/22,Florida,Orlando,,1600 block of Vagabond Ln,28.479,-81.4004,1,0,"Shot - Dead (murder, accidental, suicide)"
2241721,2/25/22,Florida,Orlando,,1700 block of Americana Blvd,28.4842,-81.401,0,1,Shot - Wounded/Injured
2269204,4/2/22,Florida,Orlando,,5429 Pointe Vista Cir,28.4843,-81.4053,1,0,"Shot - Dead (murder, accidental, suicide)"
2308664,5/22/22,Florida,Orlando,,5350 S Kirkman Rd,28.4846,-81.4595,0,2,Shot - Wounded/Injured
2318278,5/31/22,Florida,Orlando,,Millenia Blvd and Radebaugh Way,28.4852,-81.4406,0,1,"Shot - Wounded/Injured
Drive-by (car to street, car to car)"
2377588,7/31/22,Florida,Orlando,,1989 Americana Blvd,28.4858,-81.4028,1,0,"Shot - Dead (murder, accidental, suicide)"
2314291,5/27/22,Florida,Orlando,,2200 Americana Blvd,28.4865,-81.4086,0,1,"Shot - Wounded/Injured
Possession of gun by felon or prohibited person"
2451312,11/1/22,Florida,Orlando,,Americana Blvd and John Young Pkwy,28.487,-81.4153,1,0,"Shot - Dead (murder, accidental, suicide)"
2326294,6/8/22,Florida,Orlando,,I-4 and Conroy Rd,28.4872,-81.4259,0,1,"Shot - Wounded/Injured
Drive-by (car to street, car to car)
Shootout (where VENN diagram of shooters and victims overlap)"
2485945,12/20/22,Florida,Orlando,,5281 S John Young Pkwy,28.4875,-81.4166,0,1,Shot - Wounded/Injured
2338819,6/23/22,Florida,Orlando,,3573 Conroy Rd,28.488,-81.4224,1,0,"Shot - Dead (murder, accidental, suicide)
Suicide^
Officer Involved Incident
Officer Involved Shooting - subject/suspect/perpetrator killed
Officer Involved Shooting - subject/suspect/perpetrator suicide at standoff"
2314971,5/28/22,Florida,Orlando,,4101 Conroy Rd,28.4883,-81.4283,1,0,"Shot - Dead (murder, accidental, suicide)
Officer Involved Incident
Officer Involved Shooting - subject/suspect/perpetrator killed
Criminal act with stolen gun
Stolen/Illegally owned gun{s} recovered during arrest/warrant"
2405872,9/2/22,Florida,Orlando,,5000 block of Savannah River Way,28.4912,-81.4102,2,0,"Shot - Dead (murder, accidental, suicide)
Suicide^
Murder/Suicide
Domestic Violence"
